Time,Load,pv,PV,wind
2025-01-04 02:30:00+00:00,5.104,2500.0,2500.0,8377544.276139961
2025-01-04 02:45:00+00:00,5.123,2500.0,2500.0,8950989.036304977
2025-01-04 03:00:00+00:00,5.104,2500.0,2500.0,10271649.696078956
2025-01-04 03:15:00+00:00,5.123,2500.0,2500.0,11118075.902612735
2025-01-04 03:30:00+00:00,5.123,2500.0,2500.0,13360793.493917327
2025-01-04 03:45:00+00:00,5.05,2237.303472985731,2237.303472979806,14219406.884783398
2025-01-04 04:00:00+00:00,5.123,851.959409948546,851.9594099460826,14194119.88272542
2025-01-04 04:15:00+00:00,5.105,-0.75,-0.75,13336443.047491116
2025-01-04 04:30:00+00:00,5.123,-0.75,-0.75,12917490.49487606
2025-01-04 04:45:00+00:00,5.195,-0.75,-0.75,10593164.57963163
2025-01-04 05:00:00+00:00,5.25,-0.75,-0.75,10097572.351984007
2025-01-04 05:15:00+00:00,5.45,-0.75,-0.75,9098350.024599954
2025-01-04 05:30:00+00:00,5.632,-0.75,-0.75,7559059.244010159
2025-01-04 05:45:00+00:00,5.885,-0.75,-0.75,5459301.124034169
2025-01-04 06:00:00+00:00,5.922,-0.75,-0.75,4688856.73097806
2025-01-04 06:15:00+00:00,6.085,-0.75,-0.75,3810887.8570552613
2025-01-04 06:30:00+00:00,6.158,-0.75,-0.75,3346736.6272836276
2025-01-04 06:45:00+00:00,6.085,-0.75,-0.75,3745580.1463336223
2025-01-04 07:00:00+00:00,5.849,-0.75,-0.75,3237066.321636079
2025-01-04 07:15:00+00:00,5.667,-0.75,-0.75,2762449.5935098086
2025-01-04 07:30:00+00:00,5.377,-0.75,-0.75,2809097.9583109766
2025-01-04 07:45:00+00:00,5.358,361.4202243284229,361.4202243290566,2747981.4237499386
2025-01-04 08:00:00+00:00,5.104,1333.0968920262924,1333.0968920247972,2216534.5452489895
2025-01-04 08:15:00+00:00,5.322,2225.542064366454,2225.542064365365,2080608.3868898917
2025-01-04 08:30:00+00:00,4.814,2500.0,2500.0,2484970.76632944
2025-01-04 08:45:00+00:00,4.741,2500.0,2500.0,2415069.9858427653
2025-01-04 09:00:00+00:00,4.959,2500.0,2500.0,2275124.8914392577
2025-01-04 09:15:00+00:00,4.85,2500.0,2500.0,2407721.0742187044
2025-01-04 09:30:00+00:00,5.794,2500.0,2500.0,2585444.1674396493
2025-01-04 09:45:00+00:00,5.686,2350.646873289647,2350.6468733034494,3000284.4872806924
2025-01-04 10:00:00+00:00,6.194,1010.264956462854,1010.2649564623016,3639688.35823497
2025-01-04 10:15:00+00:00,6.557,-0.75,-0.75,3223118.460560529
2025-01-04 10:30:00+00:00,6.975,-0.75,-0.75,2884223.3556553824
2025-01-04 10:45:00+00:00,7.053,-0.75,-0.75,2419978.8291541506
2025-01-04 11:00:00+00:00,6.539,-0.75,-0.75,2390898.956204251
2025-01-04 11:15:00+00:00,6.739,-0.75,-0.75,2371608.063191091
2025-01-04 11:30:00+00:00,6.975,-0.75,-0.75,1870274.4983371748
2025-01-04 11:45:00+00:00,5.994,-0.75,-0.75,1134464.721978058
2025-01-04 12:00:00+00:00,6.14,-0.75,-0.75,925711.425047979
2025-01-04 12:15:00+00:00,5.214,-0.75,-0.75,884043.6702732735
2025-01-04 12:30:00+00:00,5.523,-0.75,-0.75,911630.7955495338
2025-01-04 12:45:00+00:00,4.578,-0.75,-0.75,859686.0471755551
2025-01-04 13:00:00+00:00,4.323,-0.75,-0.75,643610.8214165408
2025-01-04 13:15:00+00:00,6.122,-0.75,-0.75,369548.08987391903
